iata,icao,total_delegates_GDP,country_code,airport,latitude,longitude,distance_to_baku,existing_flight,closest,second_c,third_c,fourth_c,fifth_c,sixth_c,seventh_c,eigth_c,nineth_c,tenth_c,to_baku
LFW,DXXX,252,TG,Lome-Tokoin Airport (Gnassingbe Eyadema Int'l),6.16561,1.25451,6156.377257,FALSE,DAAG,LEMG,LGAV,LIMC,LIME,OEJN,LTBS,LTBJ,LDZA,LLBG,UBBB
MAD,LEMD,661,ES,Adolfo Suarez Madrid-Barajas Airport,40.4719,-3.56264,4473.19793,FALSE,LEMG,DAAG,EGLL,EGGW,EGSS,EBBR,LIMC,EINN,ELLX,EHEH,UBBB
KTM,VNKT,253,NP,Tribhuvan International Airport,27.6966,85.3591,3523.630431,FALSE,VGHS,VIDP,OPSR,VABB,UAAA,UCFM,VVNB,UTSB,VVTS,UNNT,UBBB
BJL,GBYD,0,GM,Banjul International Airport,13.338,-16.6522,7092.972178,FALSE,LEMG,DAAG,EINN,LIMC,EGLL,LIME,EGGW,EGSS,ELLX,EBBR,UBBB
ISB,OPIS,348,PK,Islamabad International Airport,33.5607,72.8516,2161.736759,FALSE,OPSR,VIDP,UCFM,UTSB,UAAA,VABB,OMSJ,OMDB,OMDW,VGHS,UBBB
SOF,LBSF,260,BG,Sofia Airport,42.6967,23.4114,2225.568456,FALSE,LYBE,LGAV,LTFM,LTBA,LTBJ,LTFJ,LHBP,LDZA,LTBS,LZIB,UBBB
CMB,VCBI,256,LK,Bandaranaike International Airport,7.18076,79.8841,4731.243713,FALSE,VABB,VGHS,VIDP,WSSS,OPSR,VVTS,VVNB,OMSJ,OMDW,OMDB,UBBB
KGL,HRYR,227,RW,Kigali International Airport (Kanombe Airport),-1.96863,30.1395,5116.471687,FALSE,OEJN,OERK,LLBG,OEDF,OTHH,OBBI,OKBK,OMAA,OMDW,LCLK,UBBB
TUN,DTTA,235,TN,Tunis-Carthage International Airport,36.851,10.2272,3459.60243,FALSE,DAAG,LIME,LIMC,LDZA,EDDM,LYBE,EDDF,LZIB,ELLX,EDFH,UBBB
TUN,DTTA,235,TN,Tunis–Carthage International Airport,36.8511,10.2272,3459.598799,FALSE,DAAG,LIME,LIMC,LDZA,EDDM,LYBE,EDDF,LZIB,ELLX,EDFH,UBBB
WDH,FYWH,216,,Hosea Kutako International Airport,-22.4799,17.4709,7742.938867,FALSE,OEJN,OERK,LLBG,OEDF,OTHH,OBBI,LCLK,OMAA,OKBK,LTBS,UBBB
LIS,LPPT,286,PT,Lisbon Portela Airport,38.7813,-9.13592,4986.926296,FALSE,LEMG,DAAG,EINN,EGLL,EGGW,EGSS,EBBR,ELLX,LIMC,EHEH,UBBB
CKY,GUCY,214,GN,Conakry International Airport (Gbessia Int'l Airport),9.57689,-13.612,7102.33592,FALSE,LEMG,DAAG,LIMC,LIME,EINN,EGLL,EGGW,EGSS,ELLX,EBBR,UBBB
CKY,GUCY,214,NA,Ahmed Sékou Touré International Airport,9.57689,-13.612,7102.33592,FALSE,LEMG,DAAG,LIMC,LIME,EINN,EGLL,EGGW,EGSS,ELLX,EBBR,UBBB
OUA,DFFD,212,BF,Ouagadougou Airport,12.3532,-1.51242,5902.667753,FALSE,LEMG,DAAG,LIMC,LIME,LGAV,LDZA,ELLX,EDDM,EDFH,LTBJ,UBBB
ROB,GLRB,198,LR,Roberts International Airport,6.23379,-10.3623,7077.669006,FALSE,LEMG,DAAG,LIMC,LIME,EGLL,ELLX,EINN,LGAV,EGGW,EGSS,UBBB
LIM,SPIM,266,PE,Jorge Chavez International Airport,-12.0219,-77.1143,13990.74545,FALSE,KORD,LEMG,DAAG,EINN,EGLL,EGGW,EGSS,EBBR,LIMC,ELLX,UBBB
TNR,FMMI,193,MG,Ivato International Airport,-18.7969,47.4788,6566.025374,FALSE,OEJN,OERK,OMAA,OTHH,OMDW,OMDB,OMSJ,OBBI,OEDF,VABB,UBBB
FNA,GFLL,190,SL,Lungi International Airport,8.61644,-13.1955,7136.829725,FALSE,LEMG,DAAG,LIMC,LIME,EINN,EGLL,EGGW,EGSS,ELLX,EBBR,UBBB
GBE,FBSK,192,BW,Sir Seretse Khama International Airport,-24.5552,25.9182,7619.993522,FALSE,OEJN,OERK,OTHH,OEDF,OBBI,OMAA,LLBG,OMDW,OMDB,OMSJ,UBBB
LBV,FOOL,192,GA,Léon-Mba International Airport,0.458611,9.41222,6037.103427,FALSE,OEJN,DAAG,LEMG,LGAV,LLBG,LTBS,LTBJ,LCLK,LTAI,LTFG,UBBB
LBV,FOOL,192,GA,Libreville International Airport,0.4586,9.41228,6037.100304,FALSE,OEJN,DAAG,LEMG,LGAV,LLBG,LTBS,LTBJ,LCLK,LTAI,LTFG,UBBB
SSG,FGSL,184,GQ,Malabo International Airport (Saint Isabel Airport),3.75527,8.70872,5801.314876,FALSE,DAAG,OEJN,LEMG,LGAV,LLBG,LTBS,LTBJ,LTAI,LCLK,LTFG,UBBB
IEV,UKKK,227,UA,Kyiv International Airport (Zhuliany),50.4019,30.4519,1879.92376,FALSE,UKBB,UMMS,UUWW,UUOO,UUEE,UUDD,EVRA,UUBW,LTFM,ULLI,UBBB
AEP,SABE,364,AR,Aeroparque Internacional Jorge Newbery,-34.5589,-58.4164,13837.22432,FALSE,KORD,LEMG,DAAG,EINN,EGLL,EGGW,EGSS,LIMC,LIME,EBBR,UBBB
BJM,HBBA,173,BI,Bujumbura International Airport,-3.32402,29.3185,5289.276838,FALSE,OEJN,OERK,LLBG,OEDF,OTHH,OBBI,OKBK,OMAA,OMDW,LCLK,UBBB
MPM,FQMA,176,MZ,Maputo International Airport,-25.9208,32.5726,7569.040529,FALSE,OEJN,OERK,OTHH,OMAA,OEDF,OBBI,OMDW,OMDB,OMSJ,OKBK,UBBB
ROR,PTRO,162,PW,Roman Tmetuchl International Airport,7.36731,134.544,9019.265783,FALSE,VHHH,ZSPD,RJBB,VVTS,RJAA,WSSS,RKSI,VVNB,ZHCC,ZBAA,UBBB
BEY,OLBA,167,LB,Beirut-Rafic Hariri International Airport / Beirut Air Base,33.8209,35.4884,1486.139771,FALSE,LLBG,LCLK,LTAF,LTFG,LTAU,LTAI,LTAC,LTBS,ORER,LTFJ,UBBB
JUB,HJJJ,158,SS,Juba International Airport,4.87201,31.6011,4353.718112,FALSE,OEJN,OERK,LLBG,OEDF,OTHH,OBBI,OKBK,LCLK,OMAA,OMDW,UBBB
YAO,FKKY,169,CM,Yaounde Airport,3.83604,11.5235,5598.149117,FALSE,OEJN,DAAG,LGAV,LEMG,LLBG,LTBS,LTBJ,LCLK,LTAI,LTFG,UBBB
SAH,OYSN,0,YE,Sana'a International Airport (El Rahaba Airport),15.4763,44.2197,2826.730738,FALSE,OEJN,OERK,OTHH,OEDF,OBBI,OMAA,OKBK,OMDW,OMDB,OMSJ,UBBB
SAH,OYSN,0,YE,Sana'a International Airport,15.4764,44.2197,2826.719854,FALSE,OEJN,OERK,OTHH,OEDF,OBBI,OMAA,OKBK,OMDW,OMDB,OMSJ,UBBB
TIP,HLLT,163,LY,Tripoli International Airport,32.6635,13.159,3387.002742,FALSE,DAAG,LGAV,LDZA,LIME,LIMC,LYBE,LTBJ,EDDM,LHBP,LZIB,UBBB
WAW,EPWA,351,PL,Warsaw Chopin Airport,52.1657,20.9671,2564.300517,FALSE,LHBP,LZIB,EVRA,UMMS,LYBE,LDZA,EDDP,EFHK,EDDM,UKBB,UBBB
TLL,EETN,158,EE,Tallinn Airport (Lennart Meri Tallinn Airport),59.4133,24.8328,2743.743782,FALSE,EFHK,EVRA,ULLI,UMMS,UKBB,UUWW,UUEE,LHBP,LZIB,UUDD,UBBB
BKO,GABS,152,ML,Bamako-Senou International Airport,12.5335,-7.94994,6419.025436,FALSE,LEMG,DAAG,LIMC,LIME,EGLL,ELLX,EGGW,EINN,EGSS,EBBR,UBBB
FCO,LIRF,0,IT,Rome–Fiumicino International Airport,41.8003,12.2389,3152.269441,FALSE,LIME,LIMC,LDZA,EDDM,LZIB,LYBE,LHBP,EDDF,EDFH,EDDP,UBBB
TGU,MHTG,148,HN,Toncontin International Airport,14.0609,-87.2172,12537.52984,FALSE,KORD,LEMG,EINN,DAAG,EGLL,EGGW,EGSS,EBBR,EHAM,EHEH,UBBB
TGU,MHTG,148,HN,Toncontín International Airport,14.0617,-87.2169,12537.43833,FALSE,KORD,LEMG,EINN,DAAG,EGLL,EGGW,EGSS,EBBR,EHAM,EHEH,UBBB
MEX,MMMX,566,MX,Mexico City International Airport,19.4363,-99.0721,12646.47827,FALSE,KORD,EINN,LEMG,EGLL,DAAG,EGGW,EGSS,EBBR,EHAM,EHEH,UBBB
DUB,EIDW,291,IE,Dublin Airport,53.4213,-6.27007,4393.399566,FALSE,EINN,EGGW,EGLL,EGSS,EBBR,EHAM,EHEH,ELLX,EDDK,EDFH,UBBB
NIM,DRRN,139,NE,Diori Hamani International Airport,13.4815,2.18361,5520.715204,FALSE,DAAG,LEMG,LGAV,LIMC,LIME,LDZA,LTBJ,LTBS,EDDM,LYBE,UBBB
SUV,NFNA,135,FJ,Nausori International Airport,-18.0433,178.559,14530.46437,FALSE,RJAA,RJBB,ZSPD,RKSI,VHHH,WSSS,VVTS,VVNB,ZHCC,ZBAA,UBBB
WLG,NZWN,207,NZ,Wellington International Airport,-41.3272,174.805,15446.46104,FALSE,WSSS,RJAA,RJBB,VVTS,VHHH,ZSPD,RKSI,VVNB,ZHCC,ZBAA,UBBB
FRU,UAFM,136,KG,Manas International Airport,43.0613,74.4776,2044.485108,FALSE,UCFM,UAAA,UTSB,OPSR,UNNT,VIDP,USTR,USSS,UWUU,UNKL,UBBB
ULN,ZMUB,138,MN,Chinggis Khaan International Airport,47.8431,106.767,4506.38466,FALSE,ZBAA,ZHCC,UNKL,RKSI,ZSPD,UNNT,VHHH,VVNB,VGHS,UAAA,UBBB
SEZ,FSIA,133,SC,Seychelles International Airport,-4.67434,55.5218,5029.555575,FALSE,OMAA,VABB,OMDW,OMDB,OMSJ,OTHH,OERK,OEJN,OBBI,OEDF,UBBB
DYU,UTDD,133,TJ,Dushanbe International Airport,38.5433,68.825,1625.982404,FALSE,UTSB,UCFM,OPSR,UAAA,VIDP,OMSJ,UBBB,OMDB,USTR,OMDW,UBBB
BGF,FEFF,130,CF,Bangui M'Poko International Airport,4.39848,18.5188,5091.020765,FALSE,OEJN,LLBG,LTBS,LGAV,LCLK,LTFG,LTAI,OERK,LTBJ,DAAG,UBBB
POM,AYPY,135,PG,Jacksons International Airport,-9.44338,147.22,11292.329,FALSE,WSSS,VVTS,RJBB,RJAA,VHHH,ZSPD,RKSI,VVNB,ZHCC,ZBAA,UBBB
UIO,SEQM,158,EC,Mariscal Sucre International Airport,-0.129167,-78.3575,13164.10873,FALSE,KORD,LEMG,EINN,DAAG,EGLL,EGGW,EGSS,EBBR,ELLX,EHAM,UBBB
VIE,LOWW,260,AT,Vienna International Airport,48.1103,16.5697,2778.447666,FALSE,LZIB,LDZA,LHBP,EDDM,LYBE,EDDP,LIME,LIMC,EDDF,EDFH,UBBB
